id,year,name,url
1983-raccolta,1983,Raccolta Anno 1983-84,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErKQRnceJr5Hgn87GAGWBikB_c4C0B4vQTQiZD6mG1NguA
1984-raccolta,1984,Raccolta Anno 1984-85,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhPCvd2AgcNFopGj-6a3YXsBeYN1HrFpJftftZ4k_H_c2w
1985-raccolta,1985,Raccolta Anno 1985-86,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EtqJiRvHBMhItX2yILP2WLMBCj_VCeebQ7ZyhJfUOLeA8g
1986-raccolta,1986,Raccolta Anno 1986-87,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EsyrjLGQL75AoBq6Og9fZg8BNeOrbFnXIEHH880-MoSwLQ
1987-raccolta,1987,Raccolta Anno 1987-88,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EvyS8_endJdEgjETBUuTFYQB0NWTq8RS-hIORdT5SLCweg
1988-raccolta,1988,Raccolta Anno 1988-89,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EqALHLDl1LVHpH3l_VF9nvYBGDBNL4kPyHoZNh-mU76jJA
1989-raccolta,1989,Raccolta Anno 1989-90,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EkYc3hT6zexIsdRjOxUsFdQB180mKLTPHXW6RpMkKKQDYA
1990-raccolta,1990,Raccolta Anno 1990-91,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EtmzgD6qtdxArGGmvIXjq7gBGs-Q8sXwN1RN5RuC4AeERA
1991-raccolta,1991,Raccolta Anno 1991-92,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ejq9MwI5vaRFnDx3pC8qDnoBEPwvTwsSKm1JZZbvfNqG-w
1992-raccolta,1992,Raccolta Anno 1992-93,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eg79yJQZcpNJnu63vRHvhhABX674E9x4W_oAA5YcOa90cg
1992-noviziato,1992,Raccolta Noviziato Cittadino Peter Pan,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ElIcT0-v3-xGmlOlSWHEA6sBONrSlpzT7Hl33v_O9x4O4g
1993-raccolta,1993,Raccolta Anno 1993-94,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EskW3454dapEpHV50EqNJ6kBDvh7NUPESNl15eRfiUgfag
1994-raccolta,1994,Raccolta Anno 1994-95,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EoAg84NFRdRNjCkPScc0u-EB2CAd1Bd22rcufgWIYTATjQ
1995-raccolta,1995,Raccolta Anno 1995-96,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Elw4QmbEcWVErKu-krASmUIBTFr-N3GEt2RrIekx-OvWaw
1996-partenza,1996,"Partenza Alessandra F., Stefano V., Onelio P. - 1O Maggio 1997 - Ponte Motta",https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhMJ1cD6oVhBsrq0q7gGCYcBAdZ3TgX7Cl3ej_XVbQ1aBw
1996-raccolta,1996,Raccolta Anno 1996-97,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EnzH6c-AdXtGt8NmnYCKvVgBVpTxp1Mr0uXX0BNiHm8MRQ
1997-raccolta,1997,Raccolta Anno 1997-98,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EnMq-ztZOXhFoluqkrB7dBEBrQGXAvtYFu7QxPSY-tS0IQ
1997-vvdbc,1997,Vacanze Di Branco Cerchio 1998 - Valdiporro (VR) - Aladdin,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eq9LVi_h8d9Jog1ylKg62OEBXCxHwbk61lwppJG-fRNDRg
1998-raccolta,1998,Raccolta Anno 1998-99,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eqh33T5vfCdKriDiDy6vsGYBL-c9hgVBgwoOaXFTOfrtnA
1998-vvdbc,1998,Vacanze Di Branco Cerchio 1999 - Valdiporro (VR) - Asterix&Obelix,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eh6B7Do66ihIpH3sa1nLG9gBotR3SYTh775NMmOuNEUHhQ
1999-raccolta,1999,Raccolta Anno 1999-00,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eh46w2G8sZlGkWNWSSOsFyQBRriER8Us2aLmllWGoJ7zAg
