id,name,year,url
2022-quaranta,"Quattro Passi In Vespa - Spettacolo Quarantennale",2022,https://youtu.be/wmsgtuwmtkg
2023-vvdbc-video,"VVdBC2024 - Video Finale del CAMPO DEL SOGNO INTRECCIATO",2023,https://youtu.be/FVHL-CHQASM
2020-verita,"LA VERITÀ SUGLI SCOUT",2020,https://www.youtube.com/watch?v=vujTeFLIsO4&feature=youtu.be
2020-video-ricordi,"Video ricordi anno scout",2020,https://drive.google.com/file/d/1EkgLCiMOZqaS7rJMqh2xDbRCDTo5vU8J/view?usp=sharing
2020-video-cda-viceversa,"Video CDA Viceversa",2020,https://drive.google.com/file/d/1aRRWgs_178da_RhTHvmUgjSWhle4-kyH/view?usp=sharing
2020-video-don-fabio,"Video per Don Fabio Noviziato",2020,https://drive.google.com/open?id=1lpsRYQY8c7uYjledjj9S-RyFnOihxJs6
2020-via-crucis,"Via Crucis venerdì Santo",2020,https://drive.google.com/file/d/14e6nmiyJIVFgTgOPcfND-EM5F_R9_QNQ/view?usp=sharing
2020-messa,"Messa di chiusura anno scout",2020,https://drive.google.com/file/d/1rf8il_zqSriXNITHY_4eSr-qv12_rePy/view?usp=sharing
2020-saluti,"Saluti chiusura anno scout",2020,https://drive.google.com/file/d/1mZkOHulZ52Zl1X2LupUgLlhnjuZcS0_a/view?usp=sharing
2019-italias-got-talent,"Italia's got talent di co.ca.",2019,https://drive.google.com/file/d/1AIRyxUQdox2vXMeBqSZWSsXNBmG65S7B/view?usp=sharing
2019-route-estiva-noviziato,"Route Estiva di Noviziato",2019,https://drive.google.com/file/d/1z5kBU2Ad4fUpm5nzcLfnecX-PXyyzxGl/view?usp=sharing
2019-route-estiva-clan,"Route Estiva di Clan",2019,https://drive.google.com/open?id=1L17qsu3yymFiyVoK1G90yIQ9FnXTYr8c
2020-video-don-fabio-clan,"Video per Don Fabio di Clan",2020,https://drive.google.com/file/d/1gBqPUFMb75R32Cpam8Io8cYciixq-pzV/view?usp=sharing
2016-inaugurazione,"Inaugurazione nuovo anno scout",2016,https://youtu.be/hU8OpXQEBRc
2018-lancio-volo,"Lancio Volo Regionale",2018,https://youtu.be/nZvn6dvEZ9M
2018-video-volo-bosco,"Video Volo Bosco Regionale",2018,https://www.youtube.com/watch?time_continue=123&v=0y5Wv22WIeM
2013-intervista,"Intervista a Lupetti e Coccinelle sul Desiderio",2013,"https://www.youtube.com/watch?v=1Akr-Dlzqok&feature=youtu.be"
2013-video-campo,"Video Campo di Gruppo - Cesclans (UD)",2013,https://www.youtube.com/watch?v=Kvln_42N378&feature=youtu.be
2013-momenti-campo,"Momenti al Campo di Gruppo",2013,https://www.youtube.com/watch?v=YtTg4VaqCbs&feature=youtu.be
2014-uscita-cda,"Uscita CdA Coccinelle - Rimini",2014,https://docs.google.com/file/d/0B40LSatE5DlrTWV1REdCYVhlN0k/edit?pli=1
2011-impresa,"Impresa di Go-Kart reparti",2011,https://www.youtube.com/watch?v=so6zDrpwOh0&feature=youtu.be
2011-lancio-cda,"Lancio attività CdA - 12 febbraio",2011,https://drive.google.com/file/d/0B40LSatE5DlrZjd3YlBfck82S1U/edit?usp=sharing&pli=1
2011-joker,"JOKER - Campo Invernale E/G",2011,https://www.youtube.com/watch?v=nah2eKG12tE&feature=youtu.be
2011-video-campo-estivo-eg,"Video Campo Estivo E/G - Vermiglio (TN)",2011,https://drive.google.com/file/d/195SQdsJ19y9ZLjmTLFpa-cjAtHs7x0tP/view?usp=sharing
2008-film,"Film dell'anno di Alta Sq.",2008,https://drive.google.com/file/d/1rdp76LWV41nWkD4c3wiwJeG1_BEpx4Mp/view?usp=sharing
2010-momenti-vvdbc,"Momenti alle Vacanze di Branco/Cerchio",2010,https://www.youtube.com/watch?v=HS2o7TgtArU&feature=youtu.be
2010-campo-estivo-eg,"Campo Estivo E/G - Caprese Michelangelo (AR)",2010,https://drive.google.com/file/d/0B40LSatE5DlrOXlLSzlJX2NGeFk/edit?usp=sharing
2011-route-invernale,"Route Invernale Noviziato - 27/29 dicembre",2011,https://drive.google.com/file/d/0B40LSatE5DlrYk4yb2s1M1RIcDQ/edit?usp=sharing
2008-lancio,"Lancio tema SAW - Campo invernale E/G",2008,https://www.youtube.com/watch?v=UMKYg2hS0p4
2008-rapimento,"Rapimento Volpe Amica 3 maggio",2008,https://www.youtube.com/watch?v=FlRUF51oXlQ&feature=youtu.be
2008-video-campo-estivo,"Video Campo Estivo E/G - Praso (TN)",2008,https://drive.google.com/file/d/0B40LSatE5DlrWUlsUFlvOU5WT1U/view?usp=sharing
2008-momenti-campo-eg,"Momenti al Campo E/G - Praso (TN)",2008,https://drive.google.com/file/d/1jLo0uTjYU2qwfvHAgRJ4_xsU7bmuY4rY/view?usp=sharing
2007-raccolta-foto-ci,"Raccolta foto Campo Invernale E/G",2007,https://www.youtube.com/watch?v=3oPWUz9iFSQ
2007-montaggio-tenda,"Montaggio tenda - Uscita alta Sq",2007,https://www.youtube.com/watch?v=N0o4GGPLu2E&feature=channel&list=UL
2007-video-campo-estivo,"Video Campo Estivo E/G - Lavarone (TN)",2007,https://drive.google.com/file/d/0B40LSatE5DlrWXhCV0ZiNVE3aGc/edit?usp=sharing
2006-raccolta-foto,"Raccolta foto anno scout",2006,https://www.youtube.com/watch?v=pSMz35JWOAw&feature=youtu.be
2005-campo-estivo,"Campo Estivo E/G - Ramiseto (RE)",2005,https://www.youtube.com/watch?v=NhVkKIf2c8A&feature=youtu.be
2006-raccolta-foto-ci,"Raccolta foto Campo invernale E/G",2006,https://www.youtube.com/watch?v=MoR0mnU2If0
2006-video-campo-estivo,"Video Campo Estivo E/G - Lenzumo (TN)",2006,
2006-moltiplicazioni,"Moltiplicazioni al Campo Estivo E/G",2006,https://www.youtube.com/watch?v=XnS2EudDsEs
2002-zelig,"Zelig Scout - Co.Ca.",2002,https://drive.google.com/file/d/0B40LSatE5DlrN080My1sdXNjUTg/edit
2002-campo-estivo-eg,"Campo Estivo E/G - Marmentino (BS)",2002,https://www.youtube.com/watch?v=-f_F02E3BAA&feature=youtu.be
2003-campo-estivo-eg,"Campo Estivo E/G - Praso (TN)",2003,https://www.youtube.com/watch?v=nUQNiGAsA-s&feature=youtu.be
2005-telecronaca,"Telecronaca Partita di Scoutball - Branco della Roccia Azzurra",2005,https://www.youtube.com/watch?v=RK2Tz1sLUmY&feature=youtu.be
1992-film,"Film Reparto Brownsea - ""Solo per un Sellin""",1992,https://drive.google.com/file/d/1tCpL_1wK9_M9bp-4SwlbLOsRvfg52UdT/view?usp=sharing
1996-lancio-ci,"Lancio campo invernale E/G - Robin Hood",1996,https://www.youtube.com/watch?v=wS7PTFhZm-g&feature=youtu.be
2001-vvdbc,"Vacanze di Branco/Cerchio - Balze (FC)",2001,https://www.youtube.com/watch?v=qK0jdOttIMc&feature=youtu.be
2002-film-mela,"Film ""La Mela della Discordia"" - Noviziato Hale Bopp",2002,https://drive.google.com/file/d/1thsWrqe0Nl2I5oMtXgsuVrYslhCoAzPy/view?usp=sharing
1982-anniversario,"75° Anniversario dello Scautismo Mondiale",1982,https://www.youtube.com/watch?v=QZX2nLAGCk0&feature=youtu.be
1986-uscita-clan,"Uscita di Clan a Colico",1986,https://www.youtube.com/watch?v=9-LMEE0BZG0&feature=youtu.be
1983-vecchie-leggende-1,"LE VECCHIE LEGGENDE - Prima Parte",1983,"https://drive.google.com/file/d/1iR6JwVcvQ1MusmFgbQtrJls_Lg_GADn7/view?usp=sharing"
1983-vecchie-leggende-2,"LE VECCHIE LEGGENDE - Seconda Parte",1983,"https://drive.google.com/file/d/1cPBVNe-qPX3L7VV2M7NCG2FHc4wXoAl6/view?usp=sharing"
